3719|1
3514|2
3087|3
3084|4
3082|5
3083|6
3084|7
3084|8
3085|9
2985|10
2986|11
2885|12
3614|13
2785|14
2886|15
2887|16
2886|17
2887|18
2988|19
2887|20
2888|21
2889|22
2788|23
3715|24
2889|25
2990|26
2889|27
2789|28
2891|29
2891|30
2891|31
2891|32
2791|33
2791|34
3613|35
2791|36
2792|37
2893|38
2792|39
2793|40
2793|41
2692|42
2793|43
2794|44
2794|45
3714|46
2896|47
2794|48
2794|49
2794|50
2794|51
2794|52
2693|53
2693|54
2692|55
2692|56
3712|57
2692|58
2694|59
2694|60
2695|61
2695|62
2694|63
2694|64
2594|65
2594|66
2493|67
3712|68
2493|69
2391|70
2392|71
2594|72
2595|73
2595|74
2595|75
2394|76
2596|77
2596|78
3610|79
2697|80
2697|81
2596|82
2597|83
2698|84
2597|85
2698|86
2699|87
2699|88
2699|89
3610|90
2699|91
2699|92
2699|93
2699|94
2598|95
2597|96
2497|97
2597|98
2596|99
2597|100
3608|101
2597|102
2395|103
2395|104
2599|105
2599|106
2600|107
2602|108
2602|109
2603|110
2501|111
3718|112
3708|113
2500|114
2604|115
2604|116
2794|117
2597|118
2597|119
2597|120
2597|121
2698|122
2597|123
3708|124
2597|125
2598|126
2498|127
2697|128
2698|129
2698|130
2698|131
2699|132
2700|133
2699|134
3808|135
2394|136
3715|137
3716|138
3808|139
3807|140
3908|141
3908|142
3908|143
3908|144
3908|145
3718|146
3909|147
3806|148
3806|149
3806|150
3908|151
3805|152
3905|153
3905|154
3904|155
3904|156
3716|157
3903|158
3903|159
3802|160
3802|161
3803|162
3802|163
3802|164
3802|165
3700|166
3700|167
3616|168
3799|169
3698|170
3698|171
3597|172
3697|173
3697|174
3697|175
3798|176
3798|177
3797|178
3716|179
3696|180
3695|181
3694|182
3693|183
3691|184
3691|185
3691|186
3691|187
3691|188
3691|189
2706|190
3590|191
3590|192
3590|193
3589|194
3589|195
3589|196
3588|197
3588|198
3487|199
3487|200
3515|201
3487|202
3484|203
3484|204
3484|205
3384|206
3386|207
3389|208
3389|209
3492|210
3390|211
3514|212
3389|213
3390|214
3390|215
3391|216
3391|217
3291|218
3388|219
3287|220
3287|221
3287|222
