close_ballot|1|1|1|4
open_ballot|2|2|1|2
open_ballot|2|2|1|3
open_ballot|3|3|1|2
open_ballot|4|4|1|1
open_ballot|5|5|1|2
close_ballot|5|5|1|3
close_ballot|5|5|1|4
open_ballot|6|6|1|0
open_ballot|6|6|1|1
open_ballot|6|6|1|3
open_ballot|7|7|1|0
open_ballot|7|7|1|2
open_ballot|8|8|1|1
open_ballot|9|9|1|1
close_ballot|9|9|1|2
close_ballot|9|9|1|4
close_ballot|10|10|1|2
open_ballot|11|11|1|0
open_ballot|11|11|1|3
open_ballot|11|11|1|4
open_ballot|12|12|1|1
close_ballot|12|12|1|4
open_ballot|13|13|1|0
open_ballot|13|13|1|2
open_ballot|14|14|1|2
open_ballot|14|14|1|4
open_ballot|16|16|1|3
open_ballot|17|17|1|1
open_ballot|21|21|1|0
open_ballot|21|21|1|1
open_ballot|22|22|1|2
open_ballot|25|25|1|0
open_ballot|25|25|1|4
open_ballot|26|26|1|1
open_ballot|27|27|1|0
close_ballot|28|28|1|1
open_ballot|28|28|1|2
open_ballot|28|28|1|3
close_ballot|29|29|1|2
