open_ballot|6|6|agent8|m3
open_ballot|12|12|agent3|m2
open_ballot|14|14|agent6|m3
open_ballot|18|18|agent9|m3
open_ballot|20|20|agent2|m3
close_ballot|28|28|agent1|m2
close_ballot|36|36|agent10|m3
close_ballot|40|40|agent5|m1
open_ballot|44|44|agent7|m3
close_ballot|56|56|agent3|m3
open_ballot|56|56|agent6|m3
open_ballot|58|58|agent8|m2
close_ballot|64|64|agent5|m1
open_ballot|64|64|agent6|m2
open_ballot|68|68|agent9|m1
open_ballot|70|70|agent8|m2
open_ballot|78|78|agent2|m2
open_ballot|92|92|agent5|m1
close_ballot|102|102|agent7|m1
open_ballot|102|102|agent2|m2
close_ballot|104|104|agent10|m2
open_ballot|104|104|agent7|m1
close_ballot|112|112|agent7|m1
open_ballot|114|114|agent10|m2
open_ballot|116|116|agent7|m3
close_ballot|118|118|agent3|m1
close_ballot|122|122|agent8|m1
close_ballot|136|136|agent3|m3
close_ballot|140|140|agent10|m3
open_ballot|144|144|agent2|m3
open_ballot|148|148|agent1|m2
close_ballot|150|150|agent2|m1
close_ballot|152|152|agent4|m2
open_ballot|152|152|agent7|m1
open_ballot|160|160|agent4|m3
