ts,close_ballot,1,agent1,[m4] 1
tc,close_ballot,1,agent1,[] 2
ts,tick,0,o,[] 1
tc,tick,0,o,[] 2
ts,tick,-1,o,[] 2
tc,tick,-1,o,[] 3
ts,open_ballot,2,agent1,[m2] 3
tc,open_ballot,2,agent1,[] 4
ts,open_ballot,3,agent1,[m3] 3
tc,open_ballot,3,agent1,[] 4
ts,tick,-2,o,[] 3
tc,tick,-2,o,[] 4
ts,tick,-3,o,[] 4
tc,tick,-3,o,[] 5
ts,open_ballot,4,agent1,[m2] 5
tc,open_ballot,4,agent1,[] 6
ts,tick,-4,o,[] 5
tc,tick,-4,o,[] 6
ts,tick,-5,o,[] 6
tc,tick,-5,o,[] 7
ts,open_ballot,5,agent1,[m1] 7
tc,open_ballot,5,agent1,[] 8
ts,tick,-6,o,[] 7
tc,tick,-6,o,[] 8
ts,tick,-7,o,[] 8
tc,tick,-7,o,[] 9
ts,open_ballot,6,agent1,[m2] 9
tc,open_ballot,6,agent1,[] 10
ts,close_ballot,7,agent1,[m3] 9
tc,close_ballot,7,agent1,[] 10
ts,close_ballot,8,agent1,[m4] 9
tc,close_ballot,8,agent1,[] 10
ts,tick,-8,o,[] 9
tc,tick,-8,o,[] 10
ts,tick,-9,o,[] 10
tc,tick,-9,o,[] 11
ts,open_ballot,9,agent1,[m0] 11
tc,open_ballot,9,agent1,[] 12
ts,open_ballot,10,agent1,[m1] 11
tc,open_ballot,10,agent1,[] 12
ts,open_ballot,11,agent1,[m3] 11
tc,open_ballot,11,agent1,[] 12
ts,tick,-10,o,[] 11
tc,tick,-10,o,[] 12
ts,tick,-11,o,[] 12
tc,tick,-11,o,[] 13
ts,open_ballot,12,agent1,[m0] 13
tc,open_ballot,12,agent1,[] 14
ts,open_ballot,13,agent1,[m2] 13
tc,open_ballot,13,agent1,[] 14
ts,tick,-12,o,[] 13
tc,tick,-12,o,[] 14
ts,tick,-13,o,[] 14
tc,tick,-13,o,[] 15
ts,open_ballot,14,agent1,[m1] 15
tc,open_ballot,14,agent1,[] 16
ts,tick,-14,o,[] 15
tc,tick,-14,o,[] 16
ts,tick,-15,o,[] 16
tc,tick,-15,o,[] 17
ts,open_ballot,15,agent1,[m1] 17
tc,open_ballot,15,agent1,[] 18
ts,close_ballot,16,agent1,[m2] 17
tc,close_ballot,16,agent1,[] 18
ts,close_ballot,17,agent1,[m4] 17
tc,close_ballot,17,agent1,[] 18
ts,tick,-16,o,[] 17
tc,tick,-16,o,[] 18
ts,tick,-17,o,[] 18
tc,tick,-17,o,[] 19
ts,close_ballot,18,agent1,[m2] 19
tc,close_ballot,18,agent1,[] 20
ts,tick,-18,o,[] 19
tc,tick,-18,o,[] 20
ts,tick,-19,o,[] 20
tc,tick,-19,o,[] 21
ts,open_ballot,19,agent1,[m0] 21
tc,open_ballot,19,agent1,[] 22
ts,open_ballot,20,agent1,[m3] 21
tc,open_ballot,20,agent1,[] 22
ts,open_ballot,21,agent1,[m4] 21
tc,open_ballot,21,agent1,[] 22
ts,tick,-20,o,[] 21
tc,tick,-20,o,[] 22
ts,tick,-21,o,[] 22
tc,tick,-21,o,[] 23
ts,open_ballot,22,agent1,[m1] 23
tc,open_ballot,22,agent1,[] 24
ts,close_ballot,23,agent1,[m4] 23
tc,close_ballot,23,agent1,[] 24
ts,tick,-22,o,[] 23
tc,tick,-22,o,[] 24
ts,tick,-23,o,[] 24
tc,tick,-23,o,[] 25
ts,open_ballot,24,agent1,[m0] 25
tc,open_ballot,24,agent1,[] 26
ts,open_ballot,25,agent1,[m2] 25
tc,open_ballot,25,agent1,[] 26
ts,tick,-24,o,[] 25
tc,tick,-24,o,[] 26
ts,tick,-25,o,[] 26
tc,tick,-25,o,[] 27
ts,open_ballot,26,agent1,[m2] 27
tc,open_ballot,26,agent1,[] 28
ts,open_ballot,27,agent1,[m4] 27
tc,open_ballot,27,agent1,[] 28
ts,tick,-26,o,[] 27
tc,tick,-26,o,[] 28
ts,tick,-27,o,[] 28
tc,tick,-27,o,[] 29
ts,tick,-28,o,[] 29
tc,tick,-28,o,[] 30
ts,tick,-29,o,[] 30
tc,tick,-29,o,[] 31
ts,open_ballot,28,agent1,[m3] 31
tc,open_ballot,28,agent1,[] 32
ts,tick,-30,o,[] 31
tc,tick,-30,o,[] 32
ts,tick,-31,o,[] 32
tc,tick,-31,o,[] 33
ts,open_ballot,29,agent1,[m1] 33
tc,open_ballot,29,agent1,[] 34
ts,tick,-32,o,[] 33
tc,tick,-32,o,[] 34
ts,tick,-33,o,[] 34
tc,tick,-33,o,[] 35
ts,tick,-34,o,[] 35
tc,tick,-34,o,[] 36
ts,tick,-35,o,[] 36
tc,tick,-35,o,[] 37
ts,tick,-36,o,[] 37
tc,tick,-36,o,[] 38
ts,tick,-37,o,[] 38
tc,tick,-37,o,[] 39
ts,tick,-38,o,[] 39
tc,tick,-38,o,[] 40
ts,tick,-39,o,[] 40
tc,tick,-39,o,[] 41
ts,open_ballot,30,agent1,[m0] 41
tc,open_ballot,30,agent1,[] 42
ts,open_ballot,31,agent1,[m1] 41
tc,open_ballot,31,agent1,[] 42
ts,tick,-40,o,[] 41
tc,tick,-40,o,[] 42
ts,tick,-41,o,[] 42
tc,tick,-41,o,[] 43
ts,open_ballot,32,agent1,[m2] 43
tc,open_ballot,32,agent1,[] 44
ts,tick,-42,o,[] 43
tc,tick,-42,o,[] 44
ts,tick,-43,o,[] 44
tc,tick,-43,o,[] 45
ts,tick,-44,o,[] 45
tc,tick,-44,o,[] 46
ts,tick,-45,o,[] 46
tc,tick,-45,o,[] 47
ts,tick,-46,o,[] 47
tc,tick,-46,o,[] 48
ts,tick,-47,o,[] 48
tc,tick,-47,o,[] 49
ts,open_ballot,33,agent1,[m0] 49
tc,open_ballot,33,agent1,[] 50
ts,open_ballot,34,agent1,[m4] 49
tc,open_ballot,34,agent1,[] 50
ts,tick,-48,o,[] 49
tc,tick,-48,o,[] 50
ts,tick,-49,o,[] 50
tc,tick,-49,o,[] 51
ts,open_ballot,35,agent1,[m1] 51
tc,open_ballot,35,agent1,[] 52
ts,tick,-50,o,[] 51
tc,tick,-50,o,[] 52
ts,tick,-51,o,[] 52
tc,tick,-51,o,[] 53
ts,open_ballot,36,agent1,[m0] 53
tc,open_ballot,36,agent1,[] 54
ts,tick,-52,o,[] 53
tc,tick,-52,o,[] 54
ts,tick,-53,o,[] 54
tc,tick,-53,o,[] 55
ts,close_ballot,37,agent1,[m1] 55
tc,close_ballot,37,agent1,[] 56
ts,open_ballot,38,agent1,[m2] 55
tc,open_ballot,38,agent1,[] 56
ts,open_ballot,39,agent1,[m3] 55
tc,open_ballot,39,agent1,[] 56
ts,tick,-54,o,[] 55
tc,tick,-54,o,[] 56
ts,tick,-55,o,[] 56
tc,tick,-55,o,[] 57
ts,close_ballot,40,agent1,[m2] 57
tc,close_ballot,40,agent1,[] 58
ts,tick,-56,o,[] 58
tc,tick,-56,o,[] 59
ts,tick,-57,o,[] 59
tc,tick,-57,o,[] 60
ts,tick,-58,o,[] 60
tc,tick,-58,o,[] 61
