present_quote|1|1|1|2|book|10
present_quote|1|1|1|4|book|10
present_quote|1|1|1|1|book|10
present_quote|1|1|4|3|book|10
present_quote|2|2|2|2|book|10
present_quote|2|2|1|2|book|10
accept_quote|2|2|4|3|book
accept_quote|2|2|4|1|book
present_quote|3|3|2|4|book|10
accept_quote|3|3|2|2|book
present_quote|3|3|4|2|book|10
accept_quote|3|3|2|4|book
present_quote|4|4|2|4|book|10
present_quote|4|4|2|3|book|10
accept_quote|4|4|2|2|book
accept_quote|4|4|4|1|book
present_quote|5|5|4|4|book|10
present_quote|5|5|3|4|book|10
accept_quote|5|5|3|3|book
accept_quote|5|5|2|1|book
present_quote|6|6|1|3|book|10
accept_quote|6|6|3|4|book
present_quote|6|6|1|1|book|10
present_quote|6|6|1|2|book|10
accept_quote|7|7|3|2|book
accept_quote|7|7|1|4|book
present_quote|7|7|1|4|book|10
present_quote|7|7|3|4|book|10
present_quote|8|8|2|1|book|10
present_quote|8|8|2|2|book|10
present_quote|8|8|3|3|book|10
present_quote|8|8|2|2|book|10
accept_quote|9|9|2|2|book
present_quote|9|9|1|4|book|10
accept_quote|9|9|1|1|book
present_quote|9|9|1|4|book|10
present_quote|10|10|3|3|book|10
present_quote|10|10|2|3|book|10
present_quote|10|10|4|4|book|10
accept_quote|10|10|4|4|book
present_quote|11|11|2|2|book|10
present_quote|11|11|2|3|book|10
accept_quote|11|11|1|2|book
present_quote|11|11|1|3|book|10
present_quote|12|12|4|3|book|10
accept_quote|12|12|3|3|book
present_quote|12|12|3|2|book|10
present_quote|12|12|4|3|book|10
present_quote|13|13|2|2|book|10
present_quote|13|13|1|2|book|10
accept_quote|13|13|4|2|book
accept_quote|13|13|1|3|book
accept_quote|14|14|2|2|book
present_quote|14|14|3|1|book|10
accept_quote|14|14|1|4|book
present_quote|14|14|4|4|book|10
accept_quote|15|15|1|1|book
accept_quote|15|15|1|1|book
accept_quote|15|15|3|4|book
present_quote|15|15|4|4|book|10
present_quote|16|16|1|4|book|10
present_quote|16|16|1|1|book|10
present_quote|16|16|1|4|book|10
accept_quote|16|16|1|1|book
present_quote|17|17|4|1|book|10
accept_quote|17|17|2|2|book
accept_quote|17|17|3|2|book
present_quote|17|17|4|1|book|10
accept_quote|18|18|2|2|book
present_quote|18|18|2|3|book|10
present_quote|18|18|1|4|book|10
present_quote|18|18|3|2|book|10
accept_quote|19|19|2|3|book
accept_quote|19|19|3|4|book
present_quote|19|19|3|4|book|10
present_quote|19|19|2|2|book|10
accept_quote|20|20|1|3|book
accept_quote|20|20|3|3|book
present_quote|20|20|4|1|book|10
present_quote|20|20|3|4|book|10
