present_quote|1|1|4|1|book|10
accept_quote|1|1|3|1|book
accept_quote|2|2|3|2|book
present_quote|2|2|4|2|book|10
accept_quote|3|3|3|1|book
accept_quote|3|3|3|1|book
accept_quote|4|4|1|1|book
accept_quote|4|4|2|1|book
present_quote|5|5|3|3|book|10
accept_quote|5|5|3|3|book
accept_quote|6|6|3|1|book
present_quote|6|6|3|3|book|10
accept_quote|7|7|2|1|book
present_quote|7|7|2|1|book|10
present_quote|8|8|3|1|book|10
present_quote|8|8|4|3|book|10
present_quote|9|9|4|1|book|10
accept_quote|9|9|2|4|book
accept_quote|10|10|3|4|book
present_quote|10|10|2|1|book|10
accept_quote|11|11|4|4|book
accept_quote|11|11|4|4|book
present_quote|12|12|1|1|book|10
present_quote|12|12|1|3|book|10
present_quote|13|13|3|4|book|10
present_quote|13|13|2|3|book|10
present_quote|14|14|1|1|book|10
present_quote|14|14|4|3|book|10
accept_quote|15|15|1|4|book
present_quote|15|15|1|2|book|10
present_quote|16|16|4|2|book|10
present_quote|16|16|1|1|book|10
present_quote|17|17|1|3|book|10
accept_quote|17|17|4|2|book
present_quote|18|18|4|3|book|10
present_quote|18|18|4|1|book|10
present_quote|19|19|3|4|book|10
present_quote|19|19|4|3|book|10
present_quote|20|20|2|2|book|10
accept_quote|20|20|4|4|book
