Application: immune_g
Running Feedback Loop for all time-points in (0, 530].
holdsAt(val(h,1),1).
holdsAt(val(s,2),1).
happens(occurs(f(h),0),1).
happens(occurs(f(s),2),1).
holdsAt(val(h,0),2).
holdsAt(val(s,2),2).
happens(occurs(f(h),0),2).
happens(occurs(f(s),1),2).
holdsAt(val(h,0),3).
holdsAt(val(s,2),3).
happens(occurs(f(h),0),3).
happens(occurs(f(s),1),3).
holdsAt(val(h,0),4).
holdsAt(val(s,1),4).
happens(occurs(f(h),0),4).
happens(occurs(f(s),0),4).
holdsAt(val(h,0),5).
holdsAt(val(s,1),5).
happens(occurs(f(h),0),5).
happens(occurs(f(s),0),5).
holdsAt(val(h,0),6).
holdsAt(val(s,0),6).
happens(occurs(f(h),1),6).
happens(occurs(f(s),0),6).
holdsAt(val(h,1),7).
holdsAt(val(s,0),7).
happens(occurs(f(h),1),7).
happens(occurs(f(s),1),7).
holdsAt(val(h,1),8).
holdsAt(val(s,1),8).
happens(occurs(f(h),1),8).
happens(occurs(f(s),2),8).
holdsAt(val(h,1),9).
holdsAt(val(s,2),9).
happens(occurs(f(h),0),9).
happens(occurs(f(s),2),9).
holdsAt(val(h,0),10).
holdsAt(val(s,2),10).
happens(occurs(f(h),0),10).
happens(occurs(f(s),1),10).
holdsAt(val(h,0),11).
holdsAt(val(s,2),11).
happens(occurs(f(h),0),11).
happens(occurs(f(s),1),11).
holdsAt(val(h,0),12).
holdsAt(val(s,1),12).
happens(occurs(f(h),0),12).
happens(occurs(f(s),0),12).
holdsAt(val(h,0),13).
holdsAt(val(s,1),13).
happens(occurs(f(h),0),13).
happens(occurs(f(s),0),13).
holdsAt(val(h,0),14).
holdsAt(val(s,0),14).
happens(occurs(f(h),1),14).
happens(occurs(f(s),0),14).
holdsAt(val(h,1),15).
holdsAt(val(s,0),15).
happens(occurs(f(h),1),15).
happens(occurs(f(s),1),15).
holdsAt(val(h,1),16).
holdsAt(val(s,1),16).
happens(occurs(f(h),1),16).
happens(occurs(f(s),2),16).
holdsAt(val(h,1),17).
holdsAt(val(s,2),17).
happens(occurs(f(h),0),17).
happens(occurs(f(s),2),17).
holdsAt(val(h,0),18).
holdsAt(val(s,2),18).
happens(occurs(f(h),0),18).
happens(occurs(f(s),1),18).
holdsAt(val(h,0),19).
holdsAt(val(s,2),19).
happens(occurs(f(h),0),19).
happens(occurs(f(s),1),19).
holdsAt(val(h,0),20).
holdsAt(val(s,1),20).
happens(occurs(f(h),0),20).
happens(occurs(f(s),0),20).
holdsAt(val(h,0),21).
holdsAt(val(s,1),21).
happens(occurs(f(h),0),21).
happens(occurs(f(s),0),21).
holdsAt(val(h,0),22).
holdsAt(val(s,0),22).
happens(occurs(f(h),1),22).
happens(occurs(f(s),0),22).
holdsAt(val(h,1),23).
holdsAt(val(s,0),23).
happens(occurs(f(h),1),23).
happens(occurs(f(s),1),23).
holdsAt(val(h,1),24).
holdsAt(val(s,1),24).
happens(occurs(f(h),1),24).
happens(occurs(f(s),2),24).
holdsAt(val(h,1),25).
holdsAt(val(s,2),25).
happens(occurs(f(h),0),25).
happens(occurs(f(s),2),25).
holdsAt(val(h,0),26).
holdsAt(val(s,2),26).
happens(occurs(f(h),0),26).
happens(occurs(f(s),1),26).
holdsAt(val(h,0),27).
holdsAt(val(s,2),27).
happens(occurs(f(h),0),27).
happens(occurs(f(s),1),27).
holdsAt(val(h,0),28).
holdsAt(val(s,1),28).
happens(occurs(f(h),0),28).
happens(occurs(f(s),0),28).
holdsAt(val(h,0),29).
holdsAt(val(s,1),29).
happens(occurs(f(h),0),29).
happens(occurs(f(s),0),29).
holdsAt(val(h,0),30).
holdsAt(val(s,0),30).
happens(occurs(f(h),1),30).
happens(occurs(f(s),0),30).
holdsAt(val(h,1),31).
holdsAt(val(s,0),31).
happens(occurs(f(h),1),31).
happens(occurs(f(s),1),31).
holdsAt(val(h,1),32).
holdsAt(val(s,1),32).
happens(occurs(f(h),1),32).
happens(occurs(f(s),2),32).
holdsAt(val(h,1),33).
holdsAt(val(s,2),33).
happens(occurs(f(h),0),33).
happens(occurs(f(s),2),33).
holdsAt(val(h,0),34).
holdsAt(val(s,2),34).
happens(occurs(f(h),0),34).
happens(occurs(f(s),1),34).
holdsAt(val(h,0),35).
holdsAt(val(s,2),35).
happens(occurs(f(h),0),35).
happens(occurs(f(s),1),35).
holdsAt(val(h,0),36).
holdsAt(val(s,1),36).
happens(occurs(f(h),0),36).
happens(occurs(f(s),0),36).
holdsAt(val(h,0),37).
holdsAt(val(s,1),37).
happens(occurs(f(h),0),37).
happens(occurs(f(s),0),37).
holdsAt(val(h,0),38).
holdsAt(val(s,0),38).
happens(occurs(f(h),1),38).
happens(occurs(f(s),0),38).
holdsAt(val(h,1),39).
holdsAt(val(s,0),39).
happens(occurs(f(h),1),39).
happens(occurs(f(s),1),39).
holdsAt(val(h,1),40).
holdsAt(val(s,1),40).
happens(occurs(f(h),1),40).
happens(occurs(f(s),2),40).
holdsAt(val(h,1),41).
holdsAt(val(s,2),41).
happens(occurs(f(h),0),41).
happens(occurs(f(s),2),41).
holdsAt(val(h,0),42).
holdsAt(val(s,2),42).
happens(occurs(f(h),0),42).
happens(occurs(f(s),1),42).
holdsAt(val(h,0),43).
holdsAt(val(s,2),43).
happens(occurs(f(h),0),43).
happens(occurs(f(s),1),43).
holdsAt(val(h,0),44).
holdsAt(val(s,1),44).
happens(occurs(f(h),0),44).
happens(occurs(f(s),0),44).
holdsAt(val(h,0),45).
